time,"V(1,0)","P(3,0)","V(3,0)","V(5,0)"
3.225000e-11,4.211309e-13,7.301155e-01,1.266902e-11,1.724295e-09
3.250000e-11,3.243227e-13,7.301155e-01,1.146512e-11,1.575757e-09
3.275000e-11,1.677647e-13,7.301155e-01,1.038741e-11,1.439993e-09
3.300000e-11,1.657149e-15,7.301155e-01,9.430250e-12,1.315905e-09
3.325000e-11,-1.284903e-13,7.301155e-01,8.583449e-12,1.202492e-09
3.350000e-11,-1.952143e-13,7.301155e-01,7.835203e-12,1.098844e-09
3.375000e-11,-1.942168e-13,7.301156e-01,7.173105e-12,1.004127e-09
3.400000e-11,-1.411164e-13,7.301156e-01,6.584165e-12,9.175761e-10
3.425000e-11,-6.258703e-14,7.301156e-01,6.054898e-12,8.384912e-10
3.450000e-11,1.402274e-14,7.301156e-01,5.572064e-12,7.662286e-10
3.475000e-11,6.888941e-14,7.301156e-01,5.124051e-12,7.001991e-10
3.500000e-11,9.357335e-14,7.301156e-01,4.702343e-12,6.398629e-10
3.525000e-11,9.040221e-14,7.301156e-01,4.302464e-12,5.847272e-10
3.550000e-11,6.870340e-14,7.301156e-01,3.923918e-12,5.343422e-10
3.575000e-11,3.998028e-14,7.301156e-01,3.569126e-12,4.882976e-10
3.600000e-11,1.386259e-14,7.301156e-01,3.241720e-12,4.462193e-10
3.625000e-11,-4.091793e-15,7.301156e-01,2.944760e-12,4.077659e-10
3.650000e-11,-1.260433e-14,7.301156e-01,2.679408e-12,3.726255e-10
3.675000e-11,-1.348256e-14,7.301156e-01,2.444411e-12,3.405132e-10
3.700000e-11,-9.876578e-15,7.301156e-01,2.236382e-12,3.111682e-10
3.725000e-11,-4.774799e-15,7.301156e-01,2.050678e-12,2.843521e-10
3.750000e-11,-1.609138e-16,7.301156e-01,1.882473e-12,2.598470e-10
3.775000e-11,3.139792e-15,7.301156e-01,1.727698e-12,2.374538e-10
3.800000e-11,5.131375e-15,7.301156e-01,1.583578e-12,2.169904e-10
3.825000e-11,6.168655e-15,7.301156e-01,1.448715e-12,1.982906e-10
3.850000e-11,6.588807e-15,7.301156e-01,1.322804e-12,1.812024e-10
3.875000e-11,6.550003e-15,7.301156e-01,1.206128e-12,1.655870e-10
3.900000e-11,6.070989e-15,7.301156e-01,1.099072e-12,1.513176e-10
