time,"I(RX1)","I(RX2)","I(RIN)","I(LQ2|XI0)","I(LQ2|XI1)","I(LQ2|XI2)","I(LQ2|XI3)","I(LQ2|XI4)","I(LQ2|XI8)","I(LOUT)"
1.300000e-11,-9.049139e-08,1.496342e-08,-4.760223e-06,1.286643e-05,2.879985e-05,3.011798e-05,2.571643e-05,2.375143e-05,4.586119e-05,3.119032e-08
1.320000e-11,-8.442560e-08,1.405334e-08,-4.764102e-06,6.873177e-06,2.415911e-05,2.694503e-05,2.249799e-05,1.999069e-05,4.464991e-05,1.179687e-07
1.340000e-11,-8.022463e-08,1.306491e-08,-4.770905e-06,1.021441e-06,1.917937e-05,2.350400e-05,1.919993e-05,1.618516e-05,4.205857e-05,1.988938e-07
1.360000e-11,-8.102175e-08,1.053275e-08,-4.781532e-06,-4.606088e-06,1.385495e-05,1.972217e-05,1.577189e-05,1.231891e-05,3.812617e-05,2.703027e-07
1.380000e-11,-8.697876e-08,4.840523e-09,-4.796394e-06,-9.910611e-06,8.235309e-06,1.556100e-05,1.218932e-05,8.406780e-06,3.294648e-05,3.278201e-07
1.400000e-11,-9.531757e-08,-4.752349e-09,-4.815402e-06,-1.478931e-05,2.430376e-06,1.102550e-05,8.457587e-06,4.494666e-06,2.665351e-05,3.668190e-07
1.420000e-11,-1.015277e-07,-1.727384e-08,-4.838027e-06,-1.914671e-05,-3.395003e-06,6.171474e-06,4.613255e-06,6.554486e-07,1.943062e-05,3.830344e-07
1.440000e-11,-1.011525e-07,-2.986067e-08,-4.863499e-06,-2.290257e-05,-9.038865e-06,1.108316e-06,7.227589e-07,-3.018395e-06,1.154332e-05,3.731889e-07
1.460000e-11,-9.181411e-08,-3.848811e-08,-4.891070e-06,-2.599425e-05,-1.428744e-05,-4.005438e-06,-3.121268e-06,-6.423495e-06,3.368223e-06,3.354849e-07
1.480000e-11,-7.503260e-08,-3.944689e-08,-4.920215e-06,-2.837384e-05,-1.893920e-05,-8.975020e-06,-6.805760e-06,-9.453860e-06,-4.621637e-06,2.698846e-07
1.500000e-11,-5.666939e-08,-3.098014e-08,-4.950676e-06,-3.000273e-05,-2.281993e-05,-1.358876e-05,-1.020476e-05,-1.200789e-05,-1.192720e-05,1.782003e-07
1.520000e-11,-4.489483e-08,-1.431159e-08,-4.982351e-06,-3.084728e-05,-2.578669e-05,-1.763847e-05,-1.318801e-05,-1.399418e-05,-1.811374e-05,6.408496e-08
1.540000e-11,-4.627892e-08,6.495986e-09,-5.015081e-06,-3.087822e-05,-2.772499e-05,-2.093507e-05,-1.562946e-05,-1.533670e-05,-2.286870e-05,-6.697601e-08
1.560000e-11,-6.224467e-08,2.588431e-08,-5.048468e-06,-3.007458e-05,-2.854553e-05,-2.331661e-05,-1.741454e-05,-1.597945e-05,-2.600449e-05,-2.076314e-07
1.580000e-11,-8.801420e-08,3.877916e-08,-5.081773e-06,-2.843065e-05,-2.818603e-05,-2.465049e-05,-1.844582e-05,-1.589104e-05,-2.742516e-05,-3.486328e-07
1.600000e-11,-1.146215e-07,4.230134e-08,-5.113895e-06,-2.596444e-05,-2.661952e-05,-2.483478e-05,-1.864783e-05,-1.506895e-05,-2.709391e-05,-4.789386e-07
1.620000e-11,-1.327964e-07,3.644977e-08,-5.143383e-06,-2.272637e-05,-2.386760e-05,-2.380379e-05,-1.797252e-05,-1.354365e-05,-2.502941e-05,-5.861444e-07
1.640000e-11,-1.366219e-07,2.357266e-08,-5.168436e-06,-1.880818e-05,-2.001590e-05,-2.154054e-05,-1.640702e-05,-1.138251e-05,-2.133555e-05,-6.574309e-07
1.660000e-11,-1.253269e-07,7.117842e-09,-5.186935e-06,-1.435113e-05,-1.522840e-05,-1.809552e-05,-1.398400e-05,-8.692708e-06,-1.624516e-05,-6.811242e-07
1.680000e-11,-1.029285e-07,-9.488804e-09,-5.196633e-06,-9.551045e-06,-9.756007e-06,-1.360741e-05,-1.079309e-05,-5.621367e-06,-1.014510e-05,-6.487345e-07
1.700000e-11,-7.653184e-08,-2.322462e-08,-5.195570e-06,-4.654939e-06,-3.932562e-06,-8.317775e-06,-6.989626e-06,-2.350944e-06,-3.556976e-06,-5.570312e-07
1.720000e-11,-5.417450e-08,-3.125455e-08,-5.182652e-06,5.473089e-08,1.848511e-06,-2.569604e-06,-2.795453e-06,9.117474e-07,2.928170e-06,-4.095107e-07
1.740000e-11,-4.258949e-08,-3.097527e-08,-5.158087e-06,4.287320e-06,7.176368e-06,3.217850e-06,1.512453e-06,3.952084e-06,8.736043e-06,-2.167185e-07
1.760000e-11,-4.512629e-08,-2.104847e-08,-5.123415e-06,7.775595e-06,1.167268e-05,8.596216e-06,5.625751e-06,6.566841e-06,1.338342e-05,4.680906e-09
1.780000e-11,-6.045602e-08,-3.026325e-09,-5.081136e-06,1.030243e-05,1.503282e-05,1.314357e-05,9.236056e-06,8.582153e-06,1.652154e-05,2.337126e-07
1.800000e-11,-8.281974e-08,1.788483e-08,-5.034207e-06,1.171735e-05,1.704770e-05,1.651059e-05,1.206594e-05,9.867418e-06,1.795075e-05,4.472237e-07
1.820000e-11,-1.039867e-07,3.410638e-08,-4.985724e-06,1.194426e-05,1.760808e-05,1.844672e-05,1.389331e-05,1.034459e-05,1.762092e-05,6.220004e-07
1.840000e-11,-1.162001e-07,3.874592e-08,-4.938894e-06,1.098595e-05,1.670225e-05,1.880931e-05,1.456782e-05,9.993984e-06,1.563115e-05,7.369151e-07
1.860000e-11,-1.149305e-07,2.886757e-08,-4.897152e-06,8.929433e-06,1.441816e-05,1.756731e-05,1.402233e-05,8.857860e-06,1.223126e-05,7.753489e-07
1.880000e-11,-1.004888e-07,7.257655e-09,-4.864122e-06,5.950871e-06,1.095194e-05,1.481054e-05,1.228347e-05,7.041419e-06,7.815171e-06,7.279353e-07
1.900000e-11,-7.807334e-08,-1.817424e-08,-4.843195e-06,2.313337e-06,6.613052e-06,1.076480e-05,9.482027e-06,4.709330e-06,2.890878e-06,5.951556e-07
1.920000e-11,-5.615260e-08,-3.718105e-08,-4.836810e-06,-1.650087e-06,1.810834e-06,5.799388e-06,5.857712e-06,2.075241e-06,-1.979741e-06,3.888695e-07
1.940000e-11,-4.339318e-08,-4.130462e-08,-4.845788e-06,-5.569304e-06,-2.986017e-06,4.073751e-07,1.749661e-06,-6.166282e-07,-6.259650e-06,1.319058e-07
1.960000e-11,-4.505320e-08,-2.793029e-08,-4.869106e-06,-9.079310e-06,-7.309107e-06,-4.850372e-06,-2.433852e-06,-3.115969e-06,-9.509761e-06,-1.445526e-07
1.980000e-11,-6.048328e-08,-2.251648e-09,-4.904206e-06,-1.186011e-05,-1.074973e-05,-9.424195e-06,-6.263630e-06,-5.192776e-06,-1.143700e-05,-4.052394e-07
2.000000e-11,-8.315020e-08,2.448202e-08,-4.947570e-06,-1.366612e-05,-1.300111e-05,-1.285005e-05,-9.343801e-06,-6.661071e-06,-1.191378e-05,-6.157241e-07
2.020000e-11,-5.209221e-08,4.004619e-08,-4.995202e-06,-1.434404e-05,-1.387974e-05,-1.479834e-05,-1.135847e-05,-7.396964e-06,-1.097790e-05,-7.470821e-07
2.040000e-11,-3.418959e-08,3.716733e-08,-5.042219e-06,-1.385369e-05,-1.334426e-05,-1.510789e-05,-1.211330e-05,-7.355915e-06,-8.829438e-06,-7.804519e-07
2.060000e-11,-1.900839e-08,1.717638e-08,-5.083696e-06,-1.227563e-05,-1.149960e-05,-1.379547e-05,-1.155650e-05,-6.578044e-06,-5.806843e-06,-7.101470e-07
2.080000e-11,2.163614e-09,-1.057318e-08,-5.115428e-06,-9.801410e-06,-8.584344e-06,-1.104709e-05,-9.778217e-06,-5.179183e-06,-2.337883e-06,-5.446495e-07
2.100000e-11,2.198072e-08,-3.307928e-08,-5.134436e-06,-6.709614e-06,-4.942552e-06,-7.197291e-06,-6.995054e-06,-3.331870e-06,1.125979e-06,-3.054935e-07
2.120000e-11,3.064302e-08,-3.975293e-08,-5.139192e-06,-3.333475e-06,-9.835825e-07,-2.696520e-06,-3.526350e-06,-1.242706e-06,4.174590e-06,-2.443607e-08
2.140000e-11,2.459655e-08,-2.749963e-08,-5.129644e-06,-2.510428e-08,2.865359e-06,1.937876e-06,2.373891e-07,8.696198e-07,6.488009e-06,2.606677e-07
2.160000e-11,7.701921e-09,-2.388080e-09,-5.107192e-06,2.880894e-06,6.207785e-06,6.186287e-06,3.876500e-06,2.794951e-06,7.863716e-06,5.109528e-07
2.180000e-11,-1.160236e-08,2.324770e-08,-5.074571e-06,5.102000e-06,8.720563e-06,9.594981e-06,6.993060e-06,4.351497e-06,8.225441e-06,6.920786e-07
2.200000e-11,-2.458400e-08,3.699826e-08,-5.035536e-06,6.436473e-06,1.018423e-05,1.182966e-05,9.260778e-06,5.403591e-06,7.619003e-06,7.792897e-07
2.220000e-11,-2.604191e-08,3.254061e-08,-4.994363e-06,6.781589e-06,1.049787e-05,1.270307e-05,1.046124e-05,5.874069e-06,6.197708e-06,7.609548e-07
2.240000e-11,-1.620431e-08,1.253793e-08,-4.955305e-06,6.139228e-06,9.679939e-06,1.217870e-05,1.050026e-05,5.748463e-06,4.197214e-06,6.399580e-07
2.260000e-11,-1.230233e-10,-1.296653e-08,-4.922171e-06,4.610286e-06,7.859344e-06,1.036168e-05,9.407818e-06,5.071107e-06,1.900790e-06,4.329924e-07
2.280000e-11,1.491143e-08,-3.159184e-08,-4.898075e-06,2.380989e-06,5.259786e-06,7.485274e-06,7.329101e-06,3.935784e-06,-4.003374e-07,1.682207e-07
2.300000e-11,2.264893e-08,-3.461046e-08,-4.885213e-06,-2.970710e-07,2.177467e-06,3.891632e-06,4.510647e-06,2.473744e-06,-2.444207e-06,-1.182972e-07
2.320000e-11,2.043407e-08,-2.110952e-08,-4.884618e-06,-3.133269e-06,-1.049656e-06,-1.401598e-09,1.278200e-06,8.403237e-07,-4.026563e-06,-3.872314e-07
2.340000e-11,1.004218e-08,1.721171e-09,-4.895941e-06,-5.830030e-06,-4.080090e-06,-3.751086e-06,-1.998601e-06,-8.000440e-07,-5.017639e-06,-6.014074e-07
2.360000e-11,-3.427020e-09,2.239936e-08,-4.917458e-06,-8.116660e-06,-6.608450e-06,-6.949045e-06,-4.952942e-06,-2.290089e-06,-5.367712e-06,-7.313102e-07
2.380000e-11,-1.399318e-08,3.102510e-08,-4.946394e-06,-9.778301e-06,-8.397980e-06,-9.272020e-06,-7.268415e-06,-3.495323e-06,-5.103279e-06,-7.595423e-07
2.400000e-11,-1.742976e-08,2.406331e-08,-4.979435e-06,-1.067458e-05,-9.300186e-06,-1.051188e-05,-8.715043e-06,-4.316211e-06,-4.315692e-06,-6.832414e-07
2.420000e-11,-1.293541e-08,5.696899e-09,-5.013198e-06,-1.074696e-05,-9.261653e-06,-1.058480e-05,-9.167998e-06,-4.695015e-06,-3.143927e-06,-5.141067e-07
2.440000e-11,-3.198829e-09,-1.462207e-08,-5.044503e-06,-1.001771e-05,-8.322115e-06,-9.528181e-06,-8.611913e-06,-4.617437e-06,-1.753580e-06,-2.763656e-07
2.460000e-11,7.035957e-09,-2.697991e-08,-5.070485e-06,-8.584287e-06,-6.607404e-06,-7.492638e-06,-7.136978e-06,-4.110482e-06,-3.149915e-07,-3.289624e-09
2.480000e-11,1.317082e-08,-2.579782e-08,-5.088713e-06,-6.610107e-06,-4.317469e-06,-4.728937e-06,-4.929508e-06,-3.237924e-06,1.016374e-06,2.672365e-07
2.500000e-11,1.273293e-08,-1.235103e-08,-5.097428e-06,-4.310120e-06,-1.707089e-06,-1.563801e-06,-2.254256e-06,-2.093704e-06,2.114942e-06,4.977506e-07
2.520000e-11,6.309861e-09,6.177896e-09,-5.095852e-06,-1.929398e-06,9.417182e-07,1.638624e-06,5.751505e-07,-7.929809e-07,2.894303e-06,6.564183e-07
2.540000e-11,-2.895724e-09,2.054321e-08,-5.084394e-06,2.839944e-07,3.352356e-06,4.524060e-06,3.235920e-06,5.389828e-07,3.310755e-06,7.216796e-07
2.560000e-11,-1.062275e-08,2.408100e-08,-5.064597e-06,2.107158e-06,5.284808e-06,6.792138e-06,5.437659e-06,1.778912e-06,3.361810e-06,6.854465e-07
2.580000e-11,-1.348100e-08,1.576381e-08,-5.038856e-06,3.365990e-06,6.559334e-06,8.227097e-06,6.955961e-06,2.816746e-06,3.080713e-06,5.541750e-07
2.600000e-11,-1.038715e-08,3.057556e-10,-5.010036e-06,3.950978e-06,7.070449e-06,8.712816e-06,7.652789e-06,3.564559e-06,2.528235e-06,3.476495e-07
2.620000e-11,-2.909320e-09,-1.447421e-08,-4.981149e-06,3.824871e-06,6.792513e-06,8.236319e-06,7.484592e-06,3.962700e-06,1.783088e-06,9.584386e-08
2.640000e-11,5.558946e-09,-2.157947e-08,-4.955106e-06,3.023518e-06,5.779098e-06,6.884438e-06,6.501822e-06,3.983434e-06,9.322620e-07,-1.654892e-07
2.660000e-11,1.136369e-08,-1.812874e-08,-4.934494e-06,1.650643e-06,4.156797e-06,4.834318e-06,4.841749e-06,3.632414e-06,6.230344e-08,-3.998127e-07
2.680000e-11,1.218212e-08,-6.480327e-09,-4.921317e-06,-1.337165e-07,2.112374e-06,2.334946e-06,2.713399e-06,2.947928e-06,-7.478335e-07,-5.747775e-07
2.700000e-11,7.963494e-09,7.249554e-09,-4.916740e-06,-2.131237e-06,-1.274536e-07,-3.219321e-07,3.730396e-07,1.997579e-06,-1.432098e-06,-6.666274e-07
2.720000e-11,8.462112e-10,1.639209e-08,-4.920928e-06,-4.128155e-06,-2.321915e-06,-2.838263e-06,-1.908070e-06,8.722811e-07,-1.940809e-06,-6.635007e-07
2.740000e-11,-5.877836e-09,1.695435e-08,-4.933070e-06,-5.919369e-06,-4.243534e-06,-4.945983e-06,-3.877878e-06,-3.219881e-07,-2.242431e-06,-5.671187e-07
2.760000e-11,-9.268889e-09,9.306320e-09,-4.951563e-06,-7.329739e-06,-5.702180e-06,-6.435876e-06,-5.332742e-06,-1.473747e-06,-2.323963e-06,-3.925024e-07
2.780000e-11,-8.030727e-09,-2.334004e-09,-4.974286e-06,-8.229920e-06,-6.562728e-06,-7.175658e-06,-6.137229e-06,-2.475879e-06,-2.190265e-06,-1.656602e-07
2.800000e-11,-3.016773e-09,-1.217981e-08,-4.998848e-06,-8.546123e-06,-6.755666e-06,-7.118174e-06,-6.233969e-06,-3.235001e-06,-1.862606e-06,8.040012e-08
2.820000e-11,3.245314e-09,-1.571436e-08,-5.022791e-06,-8.264501e-06,-6.281330e-06,-6.301928e-06,-5.645178e-06,-3.679734e-06,-1.376602e-06,3.106169e-07
2.840000e-11,7.759584e-09,-1.172215e-08,-5.043763e-06,-7.430798e-06,-5.208319e-06,-4.844859e-06,-4.467131e-06,-3.767347e-06,-7.795337e-07,4.929086e-07
2.860000e-11,8.436198e-09,-2.611464e-09,-5.059709e-06,-6.145211e-06,-3.665854e-06,-2.930623e-06,-2.857595e-06,-3.488170e-06,-1.270048e-07,6.025330e-07
2.880000e-11,5.018412e-09,6.999607e-09,-5.069084e-06,-4.552014e-06,-1.829748e-06,-7.869521e-07,-1.016166e-06,-2.867219e-06,5.211020e-07,6.252866e-07
2.900000e-11,-8.441214e-10,1.262105e-08,-5.071053e-06,-2.824160e-06,9.729816e-08,1.341971e-06,8.408264e-07,-1.962665e-06,1.105258e-06,5.592884e-07
2.920000e-11,-6.397406e-09,1.196684e-08,-5.065597e-06,-1.144353e-06,1.908678e-06,3.224675e-06,2.507001e-06,-8.610992e-07,1.571263e-06,4.151928e-07
